PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
18,2026/7/19,4,6,千葉,Left,茨木,Left,2,0,1,Slider,InPlay,125,Out,GroundBall,,
1,2026/7/19,1,1,田中,Right,湯浅,Right,0,0,0,Slider,StrikeCalled,122,,,,
2,2026/7/19,1,2,田中,Right,湯浅,Right,0,0,1,Fastball,BallCalled,137,,,,
3,2026/7/19,1,3,田中,Right,湯浅,Right,0,1,1,Slider,BallCalled,-,,,,
4,2026/7/19,1,4,田中,Right,湯浅,Right,0,2,1,Fastball,BallCalled,134,,,,
5,2026/7/19,1,5,田中,Right,湯浅,Right,0,3,1,Fastball,BallCalled,131,Walk,,,
6,2026/7/19,2,1,田中,Right,野田,Left,0,0,0,Fastball,StrikeCalled,133,,,,
7,2026/7/19,2,2,田中,Right,野田,Left,0,0,1,Fastball,BallCalled,-,,,,
8,2026/7/19,2,3,田中,Right,野田,Left,0,1,1,Fastball,StrikeCalled,134,,,,
9,2026/7/19,2,4,田中,Right,野田,Left,0,1,2,Slider,InPlay,124,Sacrifice,GroundBall,,
10,2026/7/19,3,1,田中,Right,石松,Left,1,0,0,Fastball,StrikeCalled,137,,,,
11,2026/7/19,3,2,田中,Right,石松,Left,1,0,1,Fastball,BallCalled,135,,,,
12,2026/7/19,3,3,田中,Right,石松,Left,1,1,1,ChangeUp,FoulBallFieldable,125,,,,
13,2026/7/19,3,4,田中,Right,石松,Left,1,1,2,ChangeUp,FoulBallFieldable,128,,,,
14,2026/7/19,3,5,田中,Right,石松,Left,1,1,2,ChangeUp,InPlay,125,Triple,LineDrive,,
15,2026/7/19,4,1,田中,Right,古田,Right,1,0,0,Curveball,BallCalled,118,,,,
16,2026/7/19,4,2,田中,Right,古田,Right,1,1,0,Fastball,FoulBallFieldable,127,,,,
17,2026/7/19,4,3,田中,Right,古田,Right,1,1,1,,FoulBallFieldable,117,,,,
18,2026/7/19,4,4,田中,Right,古田,Right,1,1,2,,BallCalled,124,,,,
19,2026/7/19,4,5,田中,Right,古田,Right,1,2,2,Fastball,FoulBallFieldable,128,,,,
20,2026/7/19,4,6,田中,Right,古田,Right,1,2,2,Cutter,BallCalled,,,,,
21,2026/7/19,4,7,田中,Right,古田,Right,1,3,2,,FoulBallFieldable,-,,,,
22,2026/7/19,4,8,田中,Right,古田,Right,1,3,2,Curveball,BallCalled,111,Walk,,,
1,2026/7/19,1,1,安東,Right,山元,Right,1,0,0,Cutter,BallCalled,129,,,,
2,2026/7/19,1,2,安東,Right,山元,Right,1,1,0,Fastball,BallCalled,134,HitByPitch,,,
3,2026/7/19,2,1,安東,Right,小松騎,Right,1,0,0,Fastball,BallCalled,132,,,,
4,2026/7/19,2,2,安東,Right,小松騎,Right,1,1,0,Fastball,StrikeCalled,129,,,,
5,2026/7/19,2,3,安東,Right,小松騎,Right,1,1,1,Slider,InPlay,,Single,,,
6,2026/7/19,3,1,安東,Right,西谷,Left,2,0,0,Fastball,FoulBallFieldable,135,,,,
7,2026/7/19,3,2,安東,Right,西谷,Left,2,0,1,Fastball,BallCalled,134,,,,
8,2026/7/19,3,3,安東,Right,西谷,Left,2,1,1,Slider,BallCalled,124,,,,
9,2026/7/19,3,4,安東,Right,西谷,Left,2,2,1,Fastball,FoulBallFieldable,134,Out,GroundBall,,
1,2026/7/19,1,1,千葉,Left,岩﨑遼,Right,0,0,0,Slider,BallCalled,124,,,,
2,2026/7/19,1,2,千葉,Left,岩﨑遼,Right,0,1,0,Slider,InPlay,123,Out,GroundBall,,
3,2026/7/19,2,1,千葉,Left,小室,Right,1,0,0,Curveball,StrikeCalled,100,,,,
4,2026/7/19,2,2,千葉,Left,小室,Right,1,0,1,Curveball,BallCalled,96,,,,
5,2026/7/19,2,3,千葉,Left,小室,Right,1,1,1,Fastball,BallCalled,-,,,,
6,2026/7/19,2,4,千葉,Left,小室,Right,1,2,1,,StrikeCalled,129,,,,
7,2026/7/19,2,5,千葉,Left,小室,Right,1,2,2,Curveball,BallCalled,109,,,,
8,2026/7/19,2,6,千葉,Left,小室,Right,1,3,2,Fastball,StrikeSwinging,127,Out,,,
9,2026/7/19,3,1,千葉,Left,津田,Left,2,0,0,,StrikeCalled,,,,,
10,2026/7/19,3,2,千葉,Left,津田,Left,2,0,1,,BallCalled,,,,,
