PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/11,1,1,安田,Right,大内,Left,0,0,0,ChangeUp,StrikeCalled,109,,
2,2026/7/11,1,2,安田,Right,大内,Left,0,0,1,Curveball,BallCalled,105,,
3,2026/7/11,1,3,安田,Right,大内,Left,0,1,1,TwoSeamFastball,BallCalled,119,,
4,2026/7/11,1,4,安田,Right,大内,Left,0,2,1,TwoSeamFastball,BallCalled,115,,
5,2026/7/11,1,5,安田,Right,大内,Left,0,3,1,Fastball,BallCalled,133,Walk,
6,2026/7/11,2,1,安田,Right,坂口,Right,0,0,0,Fastball,BallCalled,131,,
7,2026/7/11,2,2,安田,Right,坂口,Right,0,1,0,Fastball,FoulBallFieldable,131,,
8,2026/7/11,2,3,安田,Right,坂口,Right,0,1,1,Fastball,InPlay,130,Single,LineDrive
9,2026/7/11,3,1,安田,Right,阿部,Left,0,0,0,TwoSeamFastball,BallCalled,117,,
10,2026/7/11,3,2,安田,Right,阿部,Left,0,1,0,TwoSeamFastball,StrikeCalled,115,,
11,2026/7/11,3,3,安田,Right,阿部,Left,0,1,1,TwoSeamFastball,BallCalled,115,,
12,2026/7/11,3,4,安田,Right,阿部,Left,0,2,1,Fastball,StrikeCalled,128,,
13,2026/7/11,3,5,安田,Right,阿部,Left,0,2,2,TwoSeamFastball,InPlay,118,Out,FlyBall
14,2026/7/11,4,1,安田,Right,山根,Right,1,0,0,Fastball,FoulBallFieldable,136,,
15,2026/7/11,4,2,安田,Right,山根,Right,1,0,1,TwoSeamFastball,FoulBallFieldable,118,,
16,2026/7/11,4,3,安田,Right,山根,Right,1,0,2,Fastball,BallCalled,136,,
17,2026/7/11,4,4,安田,Right,山根,Right,1,1,2,Fastball,FoulBallFieldable,135,,
18,2026/7/11,4,5,安田,Right,山根,Right,1,1,2,TwoSeamFastball,BallCalled,118,,
19,2026/7/11,4,6,安田,Right,山根,Right,1,2,2,Fastball,InPlay,133,Out,FlyBall
20,2026/7/11,5,1,安田,Right,川尻,Right,2,0,0,TwoSeamFastball,BallCalled,118,,
21,2026/7/11,5,2,安田,Right,川尻,Right,2,1,0,Fastball,BallCalled,130,,
22,2026/7/11,5,3,安田,Right,川尻,Right,2,2,0,Fastball,BallCalled,137,,
23,2026/7/11,5,4,安田,Right,川尻,Right,2,3,0,TwoSeamFastball,InPlay,115,Out,GroundBall
1,2026/7/11,1,1,松本宗,Right,渡邊康,Right,0,0,0,Fastball,BallCalled,137,,
2,2026/7/11,1,2,松本宗,Right,渡邊康,Right,0,1,0,Fastball,BallCalled,138,,
3,2026/7/11,1,3,松本宗,Right,渡邊康,Right,0,2,0,Fastball,InPlay,137,Triple,GroundBall
4,2026/7/11,2,1,松本宗,Right,箭原,Left,0,0,0,Cutter,FoulBallFieldable,127,,
5,2026/7/11,2,2,松本宗,Right,箭原,Left,0,0,1,Fastball,BallCalled,136,,
6,2026/7/11,2,3,松本宗,Right,箭原,Left,0,1,1,Cutter,BallCalled,124,,
7,2026/7/11,2,4,松本宗,Right,箭原,Left,0,2,1,Fastball,InPlay,137,Single,GroundBall
8,2026/7/11,3,1,松本宗,Right,井櫻,Left,0,0,0,Fastball,BallCalled,135,,
9,2026/7/11,3,2,松本宗,Right,井櫻,Left,0,1,0,Cutter,BallCalled,126,,
10,2026/7/11,3,3,松本宗,Right,井櫻,Left,0,2,0,Slider,InPlay,116,Triple,LineDrive
11,2026/7/11,4,1,松本宗,Right,吉田壮,Left,0,0,0,Slider,BallCalled,,,
12,2026/7/11,4,2,松本宗,Right,吉田壮,Left,0,1,0,Fastball,StrikeSwinging,137,,
13,2026/7/11,4,3,松本宗,Right,吉田壮,Left,0,1,1,Splitter,BallCalled,,,
14,2026/7/11,4,4,松本宗,Right,吉田壮,Left,0,2,1,Splitter,BallCalled,,,
